epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,51.5802,0,5.58159,0,0,0,0,0,1.83169,6.44047,0.39196,0.00025391,0.00025391,0.00025391
80,52.2407,0,5.55765,0,0,0,0,0,1.83169,6.44047,0.39196,0.000245989,0.000245989,0.000245989
81,52.9293,0,5.60747,0,0,0,0,0,1.8747,6.10691,0.35292,0.000237786,0.000237786,0.000237786
82,53.5415,0,5.61164,0,0,0,0,0,1.8747,6.10691,0.35292,0.000229299,0.000229299,0.000229299
83,54.1565,0,5.57066,0,0,0,0,0,1.8747,6.10691,0.35292,0.000220529,0.000220529,0.000220529
84,54.8026,0,5.55029,0,0,0,0,0,1.87463,6.04414,0.3446,0.000211476,0.000211476,0.000211476
85,55.4113,0.0057,5.56361,0.00142,0,0,0,0,1.87463,6.04414,0.3446,0.000202141,0.000202141,0.000202141
86,56.0276,0,5.53401,0,0,0,0,0,1.87463,6.04414,0.3446,0.000192522,0.000192522,0.000192522
87,56.648,0,5.52471,0,0,0,0,0,1.87463,6.04414,0.3446,0.00018262,0.00018262,0.00018262
88,57.2833,0,5.52278,0,0,0,0,0,1.86891,5.94928,0.33293,0.000172436,0.000172436,0.000172436
89,57.9051,0,5.49643,0,0,0,0,0,1.86891,5.94928,0.33293,0.000161969,0.000161969,0.000161969
90,58.5256,0,5.56205,0,0,0,0,0,1.86891,5.94928,0.33293,0.000151218,0.000151218,0.000151218
91,59.1558,0,5.49703,0,0,0,0,0,1.86891,5.94928,0.33293,0.000140185,0.000140185,0.000140185
92,59.8024,0,5.48421,0,0,0,0,0,1.85595,5.85999,0.32042,0.000128869,0.000128869,0.000128869
93,60.4203,0,5.4704,0,0,0,0,0,1.85595,5.85999,0.32042,0.000117269,0.000117269,0.000117269
94,61.0375,0,5.46339,0,0,0,0,0,1.85595,5.85999,0.32042,0.000105387,0.000105387,0.000105387
95,61.6693,0,5.48424,0,0,0,0,0,1.85595,5.85999,0.32042,9.32222e-05,9.32222e-05,9.32222e-05
96,62.3051,0.01902,5.49626,0.00264,0,0,0,0,1.83278,5.76777,0.30597,8.07742e-05,8.07742e-05,8.07742e-05
97,62.9142,0,5.8151,0,0,0,0,0,1.83278,5.76777,0.30597,6.80433e-05,6.80433e-05,6.80433e-05
98,63.5287,0,5.46948,0,0,0,0,0,1.83278,5.76777,0.30597,5.50294e-05,5.50294e-05,5.50294e-05
99,64.1505,0,5.47507,0,0,0,0,0,1.83278,5.76777,0.30597,4.17325e-05,4.17325e-05,4.17325e-05
100,64.7908,1.75049,7.09688,0.3591,0,0,0,0,1.80795,5.69896,0.29471,2.81527e-05,2.81527e-05,2.81527e-05
